property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
SOUTH HORIZONS Phase 3 MEI KA COURT (BLOCK 23A),South Horizons,4,11800000,31,783,FALSE,22.2428712,114.1479134,27,1,357,7,94,39,10,8,43,30,1
THE PAPILLONS TOWER 6,Tseung Kwan O,3,13800000,7,773,TRUE,22.3035593,114.2625149,48,9,235,5,169,23,7,5,30,19,0
THE NOVA,Sai Ying Pun,2,13500000,9,502,TRUE,22.2855924,114.1413778,13,2,614,8,139,77,28,8,58,23,9
Beacon Heights Phase 4 Block 2,Lung Ping,3,14000000,38,844,FALSE,22.3422573,114.1677142,46,29,336,5,298,45,25,1,151,17,4
SAVANNAH TOWER 1,Tseung Kwan O,3,13800000,8,720,TRUE,22.305735,114.2638716,47,8,267,6,184,31,7,5,31,17,0
Coastal Skyline Phase 4 Le Bleu Deux Block 6,Tung Chung Town Centre,3,10500000,17,749,FALSE,22.2931549,113.9448776,61,14,197,2,53,15,8,4,7,15,1
The Masterpiece,Tsim Sha Tsui,1,23000000,16,816,TRUE,22.2975,114.173889,15,3,1212,0,122,36,22,3,82,66,4
On Yue Building,Tsuen Wan Town Centre,3,5000000,53,459,FALSE,22.3700542,114.1199213,45,9,857,18,225,99,23,9,132,51,0
ONE SOHO,Mong Kok,2,7800000,2,374,FALSE,22.3166637,114.168095,23,6,1343,9,374,101,47,7,219,81,8
TAIKOO SHING KAM DIN TERRACE (T-26) TSUI KUNG MANSION,Taikoo Shing,3,12000000,45,785,FALSE,22.2871215,114.2152644,28,12,418,4,149,64,14,4,75,28,6
Mei Foo Sun Chuen Phase 1 2-4 Broadway,Mei Foo,3,8500000,56,859,FALSE,22.335401,114.140333,34,6,386,3,139,35,10,1,56,40,0
LOHAS PARK Phase 1 The Capitol OSLO (TOWER 5 - L WING),Lohas Park,3,7800000,16,705,FALSE,22.2955964,114.2717941,50,8,64,2,55,8,0,0,2,7,0
The Beachside,Repulse Bay,2,16800000,31,678,FALSE,22.2380054,114.1984964,32,57,65,0,3,6,0,0,1,0,0
South Horizons Phase 2 Yee Wan Court (Block 15),South Horizons,3,7500000,32,621,FALSE,22.2431751,114.1461223,31,4,280,6,83,31,10,6,39,19,1
KAM FUNG COURT Kam Ho House (Block H),Ma On Shan,3,5980000,23,642,FALSE,22.4208356,114.2251897,58,7,333,6,82,53,5,2,29,23,1
Robinson Place Tower 1 (One Robinson Place ),Mid-Levels West,2,18500000,30,893,FALSE,22.2820297,114.1492069,13,14,827,5,140,73,24,7,54,60,9
La Cite Noble Block 4,Hang Hau,3,7700000,26,644,TRUE,22.3143993,114.2662381,44,4,444,7,199,53,10,6,41,28,0
